ID	instant_temp	total_energy	total_potential	lambda	binding_energy
154	2.97951e+02	-8.82172e+03	-1.22931e+04	1.00000e+00	-3.83642e+01
155	2.97217e+02	-8.85320e+03	-1.23161e+04	1.00000e+00	-3.55528e+01
156	3.01106e+02	-8.84876e+03	-1.23569e+04	1.00000e+00	-3.55860e+01
157	3.02607e+02	-8.86490e+03	-1.23905e+04	1.00000e+00	-3.56110e+01
158	2.98546e+02	-8.84424e+03	-1.23226e+04	1.00000e+00	-3.83363e+01
159	2.95264e+02	-8.84180e+03	-1.22819e+04	1.00000e+00	-3.46330e+01
160	3.01842e+02	-8.83915e+03	-1.23559e+04	1.00000e+00	-3.81843e+01
161	3.05408e+02	-8.83220e+03	-1.23905e+04	1.00000e+00	-3.92837e+01
162	3.03337e+02	-8.80271e+03	-1.23369e+04	1.00000e+00	-4.02908e+01
163	3.02169e+02	-8.84046e+03	-1.23610e+04	1.00000e+00	-3.62366e+01
164	2.96740e+02	-8.88845e+03	-1.23457e+04	1.00000e+00	-3.63765e+01
165	2.94299e+02	-8.89886e+03	-1.23277e+04	1.00000e+00	-3.78527e+01
166	3.00512e+02	-8.88756e+03	-1.23888e+04	1.00000e+00	-3.90588e+01
167	2.97001e+02	-8.90168e+03	-1.23620e+04	1.00000e+00	-3.85817e+01
168	2.94295e+02	-8.91655e+03	-1.23454e+04	1.00000e+00	-3.43120e+01
169	2.97434e+02	-8.93837e+03	-1.24037e+04	1.00000e+00	-3.24918e+01
170	2.93013e+02	-8.94364e+03	-1.23575e+04	1.00000e+00	-3.51446e+01
171	2.93442e+02	-8.92950e+03	-1.23484e+04	1.00000e+00	-3.18455e+01
172	2.98273e+02	-8.91251e+03	-1.23877e+04	1.00000e+00	-3.17534e+01
173	3.00369e+02	-8.91217e+03	-1.24117e+04	1.00000e+00	-3.36347e+01
174	3.02677e+02	-8.88746e+03	-1.24139e+04	1.00000e+00	-3.68102e+01
175	2.94867e+02	-8.90952e+03	-1.23450e+04	1.00000e+00	-2.83050e+01
176	3.01427e+02	-8.91256e+03	-1.24245e+04	1.00000e+00	-3.08653e+01
177	2.95869e+02	-8.90788e+03	-1.23550e+04	1.00000e+00	-3.24742e+01
178	2.96072e+02	-8.88651e+03	-1.23360e+04	1.00000e+00	-3.20329e+01
179	2.97054e+02	-8.93107e+03	-1.23920e+04	1.00000e+00	-2.96865e+01
180	2.94698e+02	-8.89626e+03	-1.23298e+04	1.00000e+00	-2.93122e+01
181	2.95915e+02	-8.89940e+03	-1.23471e+04	1.00000e+00	-2.72514e+01
182	2.95517e+02	-8.89071e+03	-1.23337e+04	1.00000e+00	-2.85449e+01
183	3.00435e+02	-8.90260e+03	-1.24029e+04	1.00000e+00	-3.17698e+01
184	2.98149e+02	-8.88010e+03	-1.23538e+04	1.00000e+00	-4.05591e+01
185	3.01279e+02	-8.85432e+03	-1.23645e+04	1.00000e+00	-3.82443e+01
186	2.98193e+02	-8.84421e+03	-1.23184e+04	1.00000e+00	-3.55281e+01
187	3.00041e+02	-8.78512e+03	-1.22809e+04	1.00000e+00	-3.84666e+01
188	3.04522e+02	-8.75837e+03	-1.23063e+04	1.00000e+00	-3.49448e+01
189	3.05244e+02	-8.78717e+03	-1.23435e+04	1.00000e+00	-3.15117e+01
190	2.99619e+02	-8.80046e+03	-1.22913e+04	1.00000e+00	-3.27104e+01
191	2.99286e+02	-8.77655e+03	-1.22635e+04	1.00000e+00	-3.10506e+01
192	3.00554e+02	-8.78486e+03	-1.22866e+04	1.00000e+00	-3.14416e+01
193	3.03475e+02	-8.77437e+03	-1.23101e+04	1.00000e+00	-3.22496e+01
194	3.04028e+02	-8.74850e+03	-1.22907e+04	1.00000e+00	-3.31444e+01
195	3.01448e+02	-8.77747e+03	-1.22896e+04	1.00000e+00	-3.80087e+01
196	3.03462e+02	-8.77887e+03	-1.23145e+04	1.00000e+00	-3.57570e+01
197	3.03481e+02	-8.76467e+03	-1.23005e+04	1.00000e+00	-3.35655e+01
198	3.03148e+02	-8.77385e+03	-1.23058e+04	1.00000e+00	-3.61148e+01
199	3.02762e+02	-8.77676e+03	-1.23042e+04	1.00000e+00	-3.51276e+01
200	3.01045e+02	-8.76608e+03	-1.22735e+04	1.00000e+00	-3.59973e+01
201	3.01366e+02	-8.77916e+03	-1.22903e+04	1.00000e+00	-3.76851e+01
202	3.04912e+02	-8.80614e+03	-1.23586e+04	1.00000e+00	-4.19896e+01
203	3.00252e+02	-8.82171e+03	-1.23199e+04	1.00000e+00	-3.55938e+01
204	3.00367e+02	-8.80588e+03	-1.23054e+04	1.00000e+00	-3.91298e+01
205	2.96735e+02	-8.79264e+03	-1.22499e+04	1.00000e+00	-3.97703e+01
206	3.04767e+02	-8.79128e+03	-1.23421e+04	1.00000e+00	-3.82058e+01
